patch_code,myrtus_presence,patch_size(ha),disturbance(proportion_of_nitrophilous_ruderal_spp),R1_2002,R2_2002,R5_2002,R1_1956,R2_1956,R5_1956,UTM30SX,UTM30SY
136,0,2.9,0.65,0.00922,0.0023,0.00675,0.01014,0.00254,0.00131,376472,4160368
2,0,3.48,0.694,0.021,0.02754,0.00722,0.02842,0.04013,0.01854,255101,4141067
299,0,12.09,0.459,0.04626,0.01972,0.01117,0.03895,0.20788,0.31394,133406,4144650
132,0,5.35,0.727,0.01702,0.00464,0.0093,0,0,0,397729,4152727
85,0,32.6,0.422,0.11021,0.02795,0.01535,0.7,0.51059,0.24763,222662,4132115
3023,1,48.31,0.417,0.15378,0.03844,0.01689,0.05117,0.01565,0.01302,236067,4125096
165,0,15.87,0.588,0.09939,0.02485,0.01296,0.42297,0.33121,0.15051,166708,4138658
2034,0,30.02,0.455,0.12899,0.03845,0.01525,0.11665,0.03913,0.04113,266763,4069382
2132,0,35.7,0.727,0.14227,0.04374,0.01594,0.38788,0.21593,0.10154,244686,4031456
319,0,81.38,0.489,0.21501,0.06704,0.01934,0.21672,0.06761,0.06818,118416,4125910
41,0,2.74,0.6,0.01628,0.00624,0.0083,0,0,0.03598,250288,4094947
2002,0,57.93,0.313,0.18991,0.07714,0.01825,0,0,0.01613,254527,4078122
42,0,2.38,0.628,0.01628,0.00497,0.0083,0,0,0.03674,249992,4095003
2003,0,48.2,0.143,0.1537,0.08414,0.01825,0,0,0.01613,253070,4077751
2041,0,4.68,0.75,0.0149,0.00373,0.01022,0,0,0.02147,231316,4063669
2228,1,26.88,0.364,0.17607,0.05691,0.01598,0.45778,0.20949,0.05866,230542,4018878
92,0,2.08,0.667,0.00664,0.00166,0.00876,0,0.00294,0.01045,279062,4108420
4,1,4.91,0.571,0.01564,0.00392,0.01085,0.01689,0.0135,0.03031,253119,4138393
163,0,0.78,0.516,0.01607,0.02607,0.00763,0.30324,0.21265,0.07362,173255,4144225
365,0,20.64,0.316,0.08338,0.02127,0.01606,0.85037,0.44242,0.14769,160907,4155640
304,0,11.52,0.355,0.03667,0.0242,0.01467,0.05015,0.1385,0.36298,133188,4140269
16,0,162.61,0.522,0.43101,0.12941,0.02618,0.5225,0.30596,0.08293,213908,4153473
309,0,1.32,0.4,0.0064,0.00524,0.00951,0.02818,0.06083,0.10049,128654,4136035
181,1,3.82,0.306,0.01218,0.00304,0.01196,0.63548,0.60173,0.17296,141632,4147678
2076,0,5.12,0.667,0.01629,0.00624,0.01327,0,0.00152,0.01891,240478,4052557
60,0,102.27,0.722,0.33799,0.12779,0.02614,0,0,0.02744,216464,4158497
208,1,4.97,0.257,0.08668,0.07895,0.01371,0.25909,0.15476,0.10867,184411,4133830
360,1,6.6,0.371,0.021,0.02534,0.01463,0,0.13956,0.45429,138790,4143331
2116,0,89.92,0.429,0.28317,0.10191,0.02573,0.42758,0.17074,0.06488,253112,4059045
296,0,5.03,0.267,0.05719,0.02402,0.01433,0.36756,0.2891,0.25524,133012,4131418
303,0,3.8,0.5,0.11675,0.05824,0.01353,0.11874,0.24139,0.39521,133287,4141537
118,0,4.51,0.6,0.01436,0.00359,0.01454,0.0161,0.00402,0.00306,373303,4141618
3008,0,45.01,0.538,0.14329,0.05955,0.02385,0.14978,0.04191,0.00918,269320,4073342
2054,1,89.14,0.176,0.28368,0.08063,0.02724,0.53787,0.37348,0.11804,219730,4050121
312,0,2.79,0.383,0.02161,0.02318,0.01355,0.07118,0.07561,0.08136,126750,4134741
174,0,6.09,0.471,0.08233,0.02127,0.01604,0.79428,0.50725,0.13857,160867,4156414
308,0,7.32,0.533,0.11139,0.03486,0.01742,0.27908,0.11475,0.05949,128320,4132960
2084,0,9.14,0.231,0.08523,0.02866,0.01828,0.08092,0.04065,0.03441,215636,4047834
2121,0,114.15,0.609,0.3634,0.11734,0.03019,0.48504,0.21423,0.07991,236713,4061793
2209,1,240.29,0.269,0.70055,0.19123,0.03434,0.39289,0.20004,0.05951,293423,4016505
15,0,35.37,0.526,0.1126,0.02815,0.02521,0.3129,0.12207,0.07616,215126,4150089
2016,0,18.38,0.417,0.09392,0.04648,0.02219,0.17621,0.09139,0.04419,257498,4063304
3029,1,113.35,0.418,0.30366,0.10447,0.03168,0.38036,0.14339,0.07398,163025,4150120
297,0,2.88,0.3,0.01139,0.01822,0.01576,0.16205,0.07603,0.15064,131715,4132451
2131,0,19.26,0.727,0.11863,0.04374,0.02308,0.37731,0.19453,0.12824,244182,4030613
133,0,295.53,0.583,0.68186,0.23519,0.03763,0,0,0,398209,4158170
63,0,33.66,0.566,0.11211,0.03552,0.02614,0,0.03995,0.00847,219187,4161188
28,0,5.11,0.512,0.01628,0.00594,0.01814,0.05614,0.02268,0.02846,288788,4129423
2227,1,44.63,0.429,0.2143,0.05691,0.02791,0.35495,0.23946,0.07924,231356,4018916
2033,0,32.84,0.273,0.10456,0.06101,0.02645,0.01787,0.04191,0.00671,270682,4074514
341,1,112.33,0.35,0.32913,0.12157,0.03427,0.87337,0.57485,0.25435,116582,4131444
93,0,301.9,0.432,0.83536,0.24026,0.04025,0,0.00531,0.00085,272831,4097940
3017,1,273.15,0.182,0.76429,0.21738,0.03967,0.57071,0.20392,0.07232,221880,4030844
157,0,18,0.28,0.06697,0.06703,0.02496,0.09817,0.23607,0.34121,160304,4130588
2013,0,11.12,0.417,0.09392,0.04827,0.02291,0.19136,0.10622,0.04103,257949,4063459
84,0,2.52,0.7,0.06867,0.02795,0.01766,0.68178,0.44702,0.24947,221726,4132072
211,1,0.69,0.467,0.14228,0.0781,0.01485,0.40641,0.15656,0.12258,183822,4133208
3022,0,332.17,0.573,0.68479,0.26402,0.04308,0,0.00043,0.0011,260265,4095433
2123,0,8.95,0.429,0.06207,0.10003,0.02351,0.06927,0.16867,0.04918,254415,4058483
327,1,64.52,0.347,0.20541,0.10286,0.03427,0.5042,0.25375,0.17552,121877,4135942
342,0,29.94,0.476,0.11466,0.09629,0.03013,0.46325,0.34615,0.19721,115249,4132211
321,0,219.92,0.273,0.60328,0.18882,0.04203,0.37463,0.13188,0.03526,126449,4127770
328,0,54.67,0.455,0.21767,0.11019,0.03379,0.05348,0.09789,0.15181,120065,4137020
2090,0,128.04,0.609,0.34652,0.12118,0.03933,0.07441,0.14021,0.11068,222260,4044569
2087,1,39.9,0.154,0.1335,0.06438,0.03297,0.14283,0.07686,0.0665,220249,4043286
156,1,2.48,0.467,0.01821,0.02274,0.02058,0.4172,0.45455,0.39906,159610,4129697
3025,1,341.36,0.438,0.77094,0.27166,0.04649,0.22445,0.09702,0.01771,272179,4170868
2117,0,10.87,0.429,0.0398,0.05247,0.02668,0.19789,0.09699,0.09341,251541,4057942
2122,0,26.88,0.429,0.10648,0.08608,0.03202,0.28802,0.18739,0.05174,254793,4059408
32,0,379.61,0.762,0.82104,0.29623,0.04833,0.91171,0.4177,0.09332,275151,4112608
64,0,10.97,0.638,0.05667,0.03552,0.02761,0.15496,0.03995,0.01316,220027,4160496
320,0,40.51,0.431,0.09807,0.03236,0.03464,0.13031,0.04233,0.0783,121603,4126248
294,0,7.28,0.286,0.06435,0.02009,0.0266,0.07712,0.12395,0.19081,132182,4130300
3004,0,90.78,0.632,0.22647,0.1181,0.04025,0.36666,0.27788,0.1564,205723,4137342
2139,1,101.07,0.306,0.31974,0.09465,0.04145,0.58344,0.52929,0.19627,236979,4033539
2216,0,29.43,0.4,0.0937,0.02342,0.03448,0.2253,0.10393,0.06054,291548,4018764
127,0,0.91,0.757,0.01613,0.00691,0.02093,0.01212,0.00412,0.00298,376491,4134907
